type,date,values
Jobs,2020-03-14,0
Jobs,2020-03-21,-0.9
Jobs,2020-03-28,-3.6
Jobs,2020-04-04,-6.6
Jobs,2020-04-11,-8.3
Jobs,2020-04-18,-8.8
Jobs,2020-04-25,-8.3
Jobs,2020-05-02,-8.2
Jobs,2020-05-09,-8.1
Jobs,2020-05-16,-7.9
Jobs,2020-05-23,-7.8
Jobs,2020-05-30,-7.1
Jobs,2020-06-06,-6.2
Jobs,2020-06-13,-5.2
Jobs,2020-06-20,-4.8
Jobs,2020-06-27,-5.4
Jobs,2020-07-04,-6
Jobs,2020-07-11,-7.3
Wages,2020-03-14,0
Wages,2020-03-21,-0.3
Wages,2020-03-28,-1.4
Wages,2020-04-04,-2.5
Wages,2020-04-11,-4.5
Wages,2020-04-18,-5
Wages,2020-04-25,-4.2
Wages,2020-05-02,-4
Wages,2020-05-09,-6
Wages,2020-05-16,-6.7
Wages,2020-05-23,-7.1
Wages,2020-05-30,-6.7
Wages,2020-06-06,-4
Wages,2020-06-13,-3.1
Wages,2020-06-20,-2
Wages,2020-06-27,-2.8
Wages,2020-07-04,-1.8
Wages,2020-07-11,-4.8
